que,6805
una,3475
para,2758
can,2370
los,2046
con,1836
sobre,1702
las,1699
provide,1654
como,1643
del,1502
puedo,1472
por,1441
sin,1255
puede,1228
pero,1068
help,1059
information,1048
hay,1020
some,1005
respuesta,940
embargo,931
algunas,922
proporcionar,873
have,761
ser,760
about,643
tengo,636
here,632
algunos,589
more,588
pueden,588
from,548
pregunta,545
like,536
which,533
algo,526
personal,522
siento,522
may,485
pueda,469
however,444
posible,418
including,417
importante,414
general,409
sus,401
son,394
personas,385
happy,380
